Symbol,Date,Open,Low,High,Close,Volume
AAPL,2017-12-11,169.2,168.79,172.89,172.67,35273759
AAPL,2017-12-12,172.15,171.461,172.39,171.7,19409230
AAPL,2017-12-13,172.5,172.0,173.54,172.27,23818447
AAPL,2017-12-14,172.4,171.65,173.13,172.22,20476541
AAPL,2017-12-15,173.63,172.46,174.17,173.97,40169307
AAPL,2017-12-18,174.88,174.86,177.2,176.42,29421114
AAPL,2017-12-19,175.03,174.09,175.39,174.54,27436447
AAPL,2017-12-20,174.87,173.25,175.42,174.35,23475649
AAPL,2017-12-21,174.17,174.1,176.02,175.01,20949896
AAPL,2017-12-22,174.68,174.5,175.424,175.01,16349443
AAPL,2017-12-25,175.01,175.01,175.01,175.01,0
AAPL,2017-12-26,170.8,169.679,171.47,170.57,33185536
AAPL,2017-12-27,170.1,169.71,170.78,170.6,21498213
AAPL,2017-12-28,171.0,170.48,171.85,171.08,16480187
AAPL,2017-12-29,170.52,169.22,170.59,169.23,25999922
